iso,year,gas,emissions_quantity,emissions_quantity_units
COD,2019-01-01 00:00:00,co2e_100yr,5861111.401180000,tonnes
COD,2020-01-01 00:00:00,n2o,0.00134,tonnes
COD,2020-01-01 00:00:00,co2,160.813962,tonnes
COD,2020-01-01 00:00:00,ch4,212442.596,tonnes
COD,2020-01-01 00:00:00,co2e_20yr,17845339.231722,tonnes
COD,2020-01-01 00:00:00,co2e_100yr,5948553.857062000,tonnes
COD,2021-01-01 00:00:00,n2o,0.0014399999999999,tonnes
COD,2021-01-01 00:00:00,co2,172.54481000000000,tonnes
COD,2021-01-01 00:00:00,ch4,212442.5976,tonnes
COD,2021-01-01 00:00:00,co2e_20yr,17845351.123370000,tonnes
COD,2021-01-01 00:00:00,co2e_100yr,5948565.65921,tonnes
ZAF,2015-01-01 00:00:00,n2o,1456.1657000000000,tonnes
ZAF,2015-01-01 00:00:00,co2,28631975.97,tonnes
ZAF,2015-01-01 00:00:00,ch4,91146.88553,tonnes
ZAF,2015-01-01 00:00:00,co2e_20yr,36672742.09932,tonnes
ZAF,2015-01-01 00:00:00,co2e_100yr,31569972.67534,tonnes
ZAF,2016-01-01 00:00:00,n2o,1305.832608,tonnes
ZAF,2016-01-01 00:00:00,co2,25855311.07,tonnes
ZAF,2016-01-01 00:00:00,ch4,84262.81999000000,tonnes
ZAF,2016-01-01 00:00:00,co2e_20yr,33278127.757672000,tonnes
ZAF,2016-01-01 00:00:00,co2e_100yr,28560715.670840000,tonnes
ZAF,2017-01-01 00:00:00,n2o,1584.595303,tonnes
ZAF,2017-01-01 00:00:00,co2,39770759.0,tonnes
ZAF,2017-01-01 00:00:00,ch4,115548.73364,tonnes
ZAF,2017-01-01 00:00:00,co2e_20yr,49895185.785752000,tonnes
ZAF,2017-01-01 00:00:00,co2e_100yr,43426041.297215,tonnes
ZAF,2018-01-01 00:00:00,n2o,1580.751165,tonnes
ZAF,2018-01-01 00:00:00,co2,39637205.030000000,tonnes
ZAF,2018-01-01 00:00:00,ch4,111153.73319,tonnes
ZAF,2018-01-01 00:00:00,co2e_20yr,49391436.92552000,tonnes
ZAF,2018-01-01 00:00:00,co2e_100yr,43168408.618045000,tonnes
ZAF,2019-01-01 00:00:00,n2o,1745.7929700000000,tonnes
ZAF,2019-01-01 00:00:00,co2,40071931.560000000,tonnes
ZAF,2019-01-01 00:00:00,ch4,113294.81053,tonnes
ZAF,2019-01-01 00:00:00,co2e_20yr,50049584.98860000,tonnes
ZAF,2019-01-01 00:00:00,co2e_100yr,43706821.39189,tonnes
ZAF,2020-01-01 00:00:00,n2o,1495.501517,tonnes
ZAF,2020-01-01 00:00:00,co2,37114559.49,tonnes
ZAF,2020-01-01 00:00:00,ch4,106217.01325,tonnes
ZAF,2020-01-01 00:00:00,co2e_20yr,46431601.003488,tonnes
ZAF,2020-01-01 00:00:00,co2e_100yr,40484943.763005,tonnes
ZAF,2021-01-01 00:00:00,n2o,1570.121453,tonnes
ZAF,2021-01-01 00:00:00,co2,37265812.27,tonnes
ZAF,2021-01-01 00:00:00,ch4,105690.81494,tonnes
ZAF,2021-01-01 00:00:00,co2e_20yr,46558352.78855200,tonnes
ZAF,2021-01-01 00:00:00,co2e_100yr,40641237.273365,tonnes
UGA,2015-01-01 00:00:00,n2o,28.383640000000000,tonnes
UGA,2015-01-01 00:00:00,co2,293125.0948,tonnes
UGA,2015-01-01 00:00:00,ch4,165723.524258,tonnes
UGA,2015-01-01 00:00:00,co2e_20yr,14221394.413432000,tonnes
UGA,2015-01-01 00:00:00,co2e_100yr,4940905.438624000,tonnes
UGA,2016-01-01 00:00:00,n2o,29.578055,tonnes
UGA,2016-01-01 00:00:00,co2,319049.7519,tonnes
UGA,2016-01-01 00:00:00,ch4,171147.124752,tonnes
UGA,2016-01-01 00:00:00,co2e_20yr,14703216.837588,tonnes
UGA,2016-01-01 00:00:00,co2e_100yr,5119007.429531,tonnes
UGA,2017-01-01 00:00:00,n2o,36.199317,tonnes
UGA,2017-01-01 00:00:00,co2,340807.0909,tonnes
UGA,2017-01-01 00:00:00,ch4,175897.820878,tonnes
UGA,2017-01-01 00:00:00,co2e_20yr,15125780.66434,tonnes
UGA,2017-01-01 00:00:00,co2e_100yr,5275538.894489000,tonnes
UGA,2018-01-01 00:00:00,n2o,34.694454,tonnes
UGA,2018-01-01 00:00:00,co2,372689.9916,tonnes
UGA,2018-01-01 00:00:00,ch4,179523.84727900000,tonnes
UGA,2018-01-01 00:00:00,co2e_20yr,15461852.498892000,tonnes
UGA,2018-01-01 00:00:00,co2e_100yr,5408551.745722,tonnes
UGA,2019-01-01 00:00:00,n2o,35.234675,tonnes
UGA,2019-01-01 00:00:00,co2,373376.6188,tonnes
UGA,2019-01-01 00:00:00,ch4,184443.312077,tonnes
UGA,2019-01-01 00:00:00,co2e_20yr,15875916.787468000,tonnes
UGA,2019-01-01 00:00:00,co2e_100yr,5547126.5458310000,tonnes
UGA,2020-01-01 00:00:00,n2o,30.891877,tonnes
UGA,2020-01-01 00:00:00,co2,327356.6371,tonnes
UGA,2020-01-01 00:00:00,ch4,186369.233024,tonnes
UGA,2020-01-01 00:00:00,co2e_20yr,15990527.666644,tonnes
UGA,2020-01-01 00:00:00,co2e_100yr,5553881.509177,tonnes
UGA,2021-01-01 00:00:00,n2o,32.976432,tonnes
UGA,2021-01-01 00:00:00,co2,349446.35490000000,tonnes
UGA,2021-01-01 00:00:00,ch4,186371.28395700000,tonnes
UGA,2021-01-01 00:00:00,co2e_20yr,16013339.985336000,tonnes
UGA,2021-01-01 00:00:00,co2e_100yr,5576581.060176,tonnes
SDN,2015-01-01 00:00:00,n2o,121.25455,tonnes
SDN,2015-01-01 00:00:00,co2,903576.3,tonnes
SDN,2015-01-01 00:00:00,ch4,71991.22291500000,tonnes
SDN,2015-01-01 00:00:00,co2e_20yr,6982850.226060000,tonnes
SDN,2015-01-01 00:00:00,co2e_100yr,2951462.99737,tonnes
SDN,2016-01-01 00:00:00,n2o,129.92531,tonnes
SDN,2016-01-01 00:00:00,co2,940794.57,tonnes
SDN,2016-01-01 00:00:00,ch4,72521.46978,tonnes
SDN,2016-01-01 00:00:00,co2e_20yr,7066898.313360000,tonnes
SDN,2016-01-01 00:00:00,co2e_100yr,3005825.9309900000,tonnes
SDN,2017-01-01 00:00:00,n2o,124.736569,tonnes
SDN,2017-01-01 00:00:00,co2,934063.243,tonnes
SDN,2017-01-01 00:00:00,ch4,72737.417405,tonnes
SDN,2017-01-01 00:00:00,co2e_20yr,7076936.759236,tonnes
SDN,2017-01-01 00:00:00,co2e_100yr,3003766.121125,tonnes
