name,iso,population,year,gas,emissions_quantity
Democratic Republic of the Congo,COD,"96,511,548",2016-01-01 00:00:00,n2o,0.0263
Democratic Republic of the Congo,COD,"96,511,548",2016-01-01 00:00:00,co2,3149.08339
Democratic Republic of the Congo,COD,"96,511,548",2016-01-01 00:00:00,ch4,207359.777681
Democratic Republic of the Congo,COD,"96,511,548",2016-01-01 00:00:00,co2e_20yr,17421377.351794
Democratic Republic of the Congo,COD,"96,511,548",2016-01-01 00:00:00,co2e_100yr,5809229.827958
Democratic Republic of the Congo,COD,"96,511,548",2017-01-01 00:00:00,n2o,0.0184
Democratic Republic of the Congo,COD,"96,511,548",2017-01-01 00:00:00,co2,2204.44681
Democratic Republic of the Congo,COD,"96,511,548",2017-01-01 00:00:00,ch4,242370.956499
Democratic Republic of the Congo,COD,"96,511,548",2017-01-01 00:00:00,co2e_20yr,20361369.650326
Democratic Republic of the Congo,COD,"96,511,548",2017-01-01 00:00:00,co2e_100yr,6788596.104782
Democratic Republic of the Congo,COD,"96,511,548",2018-01-01 00:00:00,n2o,0.0342
Democratic Republic of the Congo,COD,"96,511,548",2018-01-01 00:00:00,co2,4097.02737
Democratic Republic of the Congo,COD,"96,511,548",2018-01-01 00:00:00,ch4,209319.638323
Democratic Republic of the Congo,COD,"96,511,548",2018-01-01 00:00:00,co2e_20yr,17586955.675302
Democratic Republic of the Congo,COD,"96,511,548",2018-01-01 00:00:00,co2e_100yr,5865055.963414
Democratic Republic of the Congo,COD,"96,511,548",2019-01-01 00:00:00,n2o,0.00147
Democratic Republic of the Congo,COD,"96,511,548",2019-01-01 00:00:00,co2,176.40665
Democratic Republic of the Congo,COD,"96,511,548",2019-01-01 00:00:00,ch4,209319.093035
Democratic Republic of the Congo,COD,"96,511,548",2019-01-01 00:00:00,co2e_20yr,17582980.60967
Democratic Republic of the Congo,COD,"96,511,548",2019-01-01 00:00:00,co2e_100yr,5861111.40118
Democratic Republic of the Congo,COD,"96,511,548",2020-01-01 00:00:00,n2o,0.00134
Democratic Republic of the Congo,COD,"96,511,548",2020-01-01 00:00:00,co2,160.813962
Democratic Republic of the Congo,COD,"96,511,548",2020-01-01 00:00:00,ch4,212442.596
Democratic Republic of the Congo,COD,"96,511,548",2020-01-01 00:00:00,co2e_20yr,17845339.231722
Democratic Republic of the Congo,COD,"96,511,548",2020-01-01 00:00:00,co2e_100yr,5948553.857062
Democratic Republic of the Congo,COD,"96,511,548",2021-01-01 00:00:00,n2o,0.0014399999999999
Democratic Republic of the Congo,COD,"96,511,548",2021-01-01 00:00:00,co2,172.54481
Democratic Republic of the Congo,COD,"96,511,548",2021-01-01 00:00:00,ch4,212442.5976
Democratic Republic of the Congo,COD,"96,511,548",2021-01-01 00:00:00,co2e_20yr,17845351.12337
Democratic Republic of the Congo,COD,"96,511,548",2021-01-01 00:00:00,co2e_100yr,5948565.65921
South Africa,ZAF,"61,081,076",2015-01-01 00:00:00,n2o,1456.1657
South Africa,ZAF,"61,081,076",2015-01-01 00:00:00,co2,28631975.97
South Africa,ZAF,"61,081,076",2015-01-01 00:00:00,ch4,91146.88553
South Africa,ZAF,"61,081,076",2015-01-01 00:00:00,co2e_20yr,36672742.09932
South Africa,ZAF,"61,081,076",2015-01-01 00:00:00,co2e_100yr,31569972.67534
South Africa,ZAF,"61,081,076",2016-01-01 00:00:00,n2o,1305.832608
South Africa,ZAF,"61,081,076",2016-01-01 00:00:00,co2,25855311.07
South Africa,ZAF,"61,081,076",2016-01-01 00:00:00,ch4,84262.81999
South Africa,ZAF,"61,081,076",2016-01-01 00:00:00,co2e_20yr,33278127.757672
South Africa,ZAF,"61,081,076",2016-01-01 00:00:00,co2e_100yr,28560715.67084
South Africa,ZAF,"61,081,076",2017-01-01 00:00:00,n2o,1584.595303
South Africa,ZAF,"61,081,076",2017-01-01 00:00:00,co2,39770759.0
South Africa,ZAF,"61,081,076",2017-01-01 00:00:00,ch4,115548.73364
South Africa,ZAF,"61,081,076",2017-01-01 00:00:00,co2e_20yr,49895185.785752
South Africa,ZAF,"61,081,076",2017-01-01 00:00:00,co2e_100yr,43426041.297215
South Africa,ZAF,"61,081,076",2018-01-01 00:00:00,n2o,1580.751165
South Africa,ZAF,"61,081,076",2018-01-01 00:00:00,co2,39637205.03
South Africa,ZAF,"61,081,076",2018-01-01 00:00:00,ch4,111153.73319
South Africa,ZAF,"61,081,076",2018-01-01 00:00:00,co2e_20yr,49391436.92552
South Africa,ZAF,"61,081,076",2018-01-01 00:00:00,co2e_100yr,43168408.618045
South Africa,ZAF,"61,081,076",2019-01-01 00:00:00,n2o,1745.79297
South Africa,ZAF,"61,081,076",2019-01-01 00:00:00,co2,40071931.56
South Africa,ZAF,"61,081,076",2019-01-01 00:00:00,ch4,113294.81053
South Africa,ZAF,"61,081,076",2019-01-01 00:00:00,co2e_20yr,50049584.9886
South Africa,ZAF,"61,081,076",2019-01-01 00:00:00,co2e_100yr,43706821.39189
South Africa,ZAF,"61,081,076",2020-01-01 00:00:00,n2o,1495.501517
South Africa,ZAF,"61,081,076",2020-01-01 00:00:00,co2,37114559.49
South Africa,ZAF,"61,081,076",2020-01-01 00:00:00,ch4,106217.01325
South Africa,ZAF,"61,081,076",2020-01-01 00:00:00,co2e_20yr,46431601.003488
South Africa,ZAF,"61,081,076",2020-01-01 00:00:00,co2e_100yr,40484943.763005
South Africa,ZAF,"61,081,076",2021-01-01 00:00:00,n2o,1570.121453
South Africa,ZAF,"61,081,076",2021-01-01 00:00:00,co2,37265812.27
South Africa,ZAF,"61,081,076",2021-01-01 00:00:00,ch4,105690.81494
South Africa,ZAF,"61,081,076",2021-01-01 00:00:00,co2e_20yr,46558352.788552
South Africa,ZAF,"61,081,076",2021-01-01 00:00:00,co2e_100yr,40641237.273365
Uganda,UGA,"49,333,704",2015-01-01 00:00:00,n2o,28.38364
Uganda,UGA,"49,333,704",2015-01-01 00:00:00,co2,293125.0948
Uganda,UGA,"49,333,704",2015-01-01 00:00:00,ch4,165723.524258
Uganda,UGA,"49,333,704",2015-01-01 00:00:00,co2e_20yr,14221394.413432
Uganda,UGA,"49,333,704",2015-01-01 00:00:00,co2e_100yr,4940905.438624
Uganda,UGA,"49,333,704",2016-01-01 00:00:00,n2o,29.578055
Uganda,UGA,"49,333,704",2016-01-01 00:00:00,co2,319049.7519
Uganda,UGA,"49,333,704",2016-01-01 00:00:00,ch4,171147.124752
Uganda,UGA,"49,333,704",2016-01-01 00:00:00,co2e_20yr,14703216.837588
Uganda,UGA,"49,333,704",2016-01-01 00:00:00,co2e_100yr,5119007.429531
Uganda,UGA,"49,333,704",2017-01-01 00:00:00,n2o,36.199317
Uganda,UGA,"49,333,704",2017-01-01 00:00:00,co2,340807.0909
Uganda,UGA,"49,333,704",2017-01-01 00:00:00,ch4,175897.820878
Uganda,UGA,"49,333,704",2017-01-01 00:00:00,co2e_20yr,15125780.66434
Uganda,UGA,"49,333,704",2017-01-01 00:00:00,co2e_100yr,5275538.894489
Uganda,UGA,"49,333,704",2018-01-01 00:00:00,n2o,34.694454
Uganda,UGA,"49,333,704",2018-01-01 00:00:00,co2,372689.9916
Uganda,UGA,"49,333,704",2018-01-01 00:00:00,ch4,179523.847279
Uganda,UGA,"49,333,704",2018-01-01 00:00:00,co2e_20yr,15461852.498892
Uganda,UGA,"49,333,704",2018-01-01 00:00:00,co2e_100yr,5408551.745722
Uganda,UGA,"49,333,704",2019-01-01 00:00:00,n2o,35.234675
Uganda,UGA,"49,333,704",2019-01-01 00:00:00,co2,373376.6188
Uganda,UGA,"49,333,704",2019-01-01 00:00:00,ch4,184443.312077
Uganda,UGA,"49,333,704",2019-01-01 00:00:00,co2e_20yr,15875916.787468
Uganda,UGA,"49,333,704",2019-01-01 00:00:00,co2e_100yr,5547126.545831
Uganda,UGA,"49,333,704",2020-01-01 00:00:00,n2o,30.891877
Uganda,UGA,"49,333,704",2020-01-01 00:00:00,co2,327356.6371
Uganda,UGA,"49,333,704",2020-01-01 00:00:00,ch4,186369.233024
Uganda,UGA,"49,333,704",2020-01-01 00:00:00,co2e_20yr,15990527.666644
Uganda,UGA,"49,333,704",2020-01-01 00:00:00,co2e_100yr,5553881.509177
Uganda,UGA,"49,333,704",2021-01-01 00:00:00,n2o,32.976432
Uganda,UGA,"49,333,704",2021-01-01 00:00:00,co2,349446.3549
Uganda,UGA,"49,333,704",2021-01-01 00:00:00,ch4,186371.283957
Uganda,UGA,"49,333,704",2021-01-01 00:00:00,co2e_20yr,16013339.985336
Uganda,UGA,"49,333,704",2021-01-01 00:00:00,co2e_100yr,5576581.060176
Sudan,SDN,"46,342,103",2015-01-01 00:00:00,n2o,121.25455
Sudan,SDN,"46,342,103",2015-01-01 00:00:00,co2,903576.3
Sudan,SDN,"46,342,103",2015-01-01 00:00:00,ch4,71991.222915
Sudan,SDN,"46,342,103",2015-01-01 00:00:00,co2e_20yr,6982850.22606
Sudan,SDN,"46,342,103",2015-01-01 00:00:00,co2e_100yr,2951462.99737
Sudan,SDN,"46,342,103",2016-01-01 00:00:00,n2o,129.92531
Sudan,SDN,"46,342,103",2016-01-01 00:00:00,co2,940794.57
Sudan,SDN,"46,342,103",2016-01-01 00:00:00,ch4,72521.46978
Sudan,SDN,"46,342,103",2016-01-01 00:00:00,co2e_20yr,7066898.31336
Sudan,SDN,"46,342,103",2016-01-01 00:00:00,co2e_100yr,3005825.93099
Sudan,SDN,"46,342,103",2017-01-01 00:00:00,n2o,124.736569
Sudan,SDN,"46,342,103",2017-01-01 00:00:00,co2,934063.243
Sudan,SDN,"46,342,103",2017-01-01 00:00:00,ch4,72737.417405
Sudan,SDN,"46,342,103",2017-01-01 00:00:00,co2e_20yr,7076936.759236
Sudan,SDN,"46,342,103",2017-01-01 00:00:00,co2e_100yr,3003766.121125
Sudan,SDN,"46,342,103",2018-01-01 00:00:00,n2o,122.558127
Sudan,SDN,"46,342,103",2018-01-01 00:00:00,co2,921218.403
Sudan,SDN,"46,342,103",2018-01-01 00:00:00,ch4,74467.707945
Sudan,SDN,"46,342,103",2018-01-01 00:00:00,co2e_20yr,7208861.215908
Sudan,SDN,"46,342,103",2018-01-01 00:00:00,co2e_100yr,3038792.129115
Sudan,SDN,"46,342,103",2019-01-01 00:00:00,n2o,123.228274
Sudan,SDN,"46,342,103",2019-01-01 00:00:00,co2,937470.047
Sudan,SDN,"46,342,103",2019-01-01 00:00:00,ch4,76241.586079
Sudan,SDN,"46,342,103",2019-01-01 00:00:00,co2e_20yr,7374295.541972
Sudan,SDN,"46,342,103",2019-01-01 00:00:00,co2e_100yr,3104889.949822
Sudan,SDN,"46,342,103",2020-01-01 00:00:00,n2o,108.039956
Sudan,SDN,"46,342,103",2020-01-01 00:00:00,co2,821923.5659
Sudan,SDN,"46,342,103",2020-01-01 00:00:00,ch4,76233.082193
Sudan,SDN,"46,342,103",2020-01-01 00:00:00,co2e_20yr,7254025.018496
Sudan,SDN,"46,342,103",2020-01-01 00:00:00,co2e_100yr,2985080.455644
Sudan,SDN,"46,342,103",2021-01-01 00:00:00,n2o,115.33039
Sudan,SDN,"46,342,103",2021-01-01 00:00:00,co2,877386.1948
Sudan,SDN,"46,342,103",2021-01-01 00:00:00,ch4,76237.164082
Sudan,SDN,"46,342,103",2021-01-01 00:00:00,co2e_20yr,7311755.200648
Sudan,SDN,"46,342,103",2021-01-01 00:00:00,co2e_100yr,3042589.342446
Nigeria,NGA,"218,625,385",2015-01-01 00:00:00,n2o,18.0399
Nigeria,NGA,"218,625,385",2015-01-01 00:00:00,co2,1634210.66
Nigeria,NGA,"218,625,385",2015-01-01 00:00:00,ch4,1216140.29378
Nigeria,NGA,"218,625,385",2015-01-01 00:00:00,co2e_20yr,103794757.87112
Nigeria,NGA,"218,625,385",2015-01-01 00:00:00,co2e_100yr,35690919.45934
Nigeria,NGA,"218,625,385",2016-01-01 00:00:00,n2o,18.49979
Nigeria,NGA,"218,625,385",2016-01-01 00:00:00,co2,1749766.27
Nigeria,NGA,"218,625,385",2016-01-01 00:00:00,ch4,1237375.00028
Nigeria,NGA,"218,625,385",2016-01-01 00:00:00,co2e_20yr,105694150.23808
Nigeria,NGA,"218,625,385",2016-01-01 00:00:00,co2e_100yr,36401168.72219
Nigeria,NGA,"218,625,385",2017-01-01 00:00:00,n2o,19.065144
Nigeria,NGA,"218,625,385",2017-01-01 00:00:00,co2,1819522.49
Nigeria,NGA,"218,625,385",2017-01-01 00:00:00,ch4,1259049.029256
Nigeria,NGA,"218,625,385",2017-01-01 00:00:00,co2e_20yr,107584674.14552
Nigeria,NGA,"218,625,385",2017-01-01 00:00:00,co2e_100yr,37077947.572328
Nigeria,NGA,"218,625,385",2018-01-01 00:00:00,n2o,20.042368
Nigeria,NGA,"218,625,385",2018-01-01 00:00:00,co2,2184578.776
Nigeria,NGA,"218,625,385",2018-01-01 00:00:00,ch4,1281184.429167
Nigeria,NGA,"218,625,385",2018-01-01 00:00:00,co2e_20yr,109809362.01118
Nigeria,NGA,"218,625,385",2018-01-01 00:00:00,co2e_100yr,38063054.020196
Nigeria,NGA,"218,625,385",2019-01-01 00:00:00,n2o,21.463655
Nigeria,NGA,"218,625,385",2019-01-01 00:00:00,co2,2817086.906
Nigeria,NGA,"218,625,385",2019-01-01 00:00:00,ch4,1300846.454128
Nigeria,NGA,"218,625,385",2019-01-01 00:00:00,co2e_20yr,112093855.457672
Nigeria,NGA,"218,625,385",2019-01-01 00:00:00,co2e_100yr,39246475.490159
Nigeria,NGA,"218,625,385",2020-01-01 00:00:00,n2o,21.194314
Nigeria,NGA,"218,625,385",2020-01-01 00:00:00,co2,2781736.178
Nigeria,NGA,"218,625,385",2020-01-01 00:00:00,ch4,1308170.409336
Nigeria,NGA,"218,625,385",2020-01-01 00:00:00,co2e_20yr,112673645.86112
Nigeria,NGA,"218,625,385",2020-01-01 00:00:00,co2e_100yr,39416124.132618
Nigeria,NGA,"218,625,385",2021-01-01 00:00:00,n2o,22.895564
Nigeria,NGA,"218,625,385",2021-01-01 00:00:00,co2,3005023.817
Nigeria,NGA,"218,625,385",2021-01-01 00:00:00,ch4,1308196.26085
Nigeria,NGA,"218,625,385",2021-01-01 00:00:00,co2e_20yr,112899554.157296
Nigeria,NGA,"218,625,385",2021-01-01 00:00:00,co2e_100yr,39640586.44526
Tanzania,TZA,"63,931,876",2015-01-01 00:00:00,n2o,26.94625
Tanzania,TZA,"63,931,876",2015-01-01 00:00:00,co2,351719.92
Tanzania,TZA,"63,931,876",2015-01-01 00:00:00,ch4,166888.519095
Tanzania,TZA,"63,931,876",2015-01-01 00:00:00,co2e_20yr,14377469.33398
Tanzania,TZA,"63,931,876",2015-01-01 00:00:00,co2e_100yr,5031739.21091
Tanzania,TZA,"63,931,876",2016-01-01 00:00:00,n2o,28.59143
Tanzania,TZA,"63,931,876",2016-01-01 00:00:00,co2,490718.11
Tanzania,TZA,"63,931,876",2016-01-01 00:00:00,ch4,170696.73479
Tanzania,TZA,"63,931,876",2016-01-01 00:00:00,co2e_20yr,14836791.96988
Tanzania,TZA,"63,931,876",2016-01-01 00:00:00,co2e_100yr,5277803.41307
Tanzania,TZA,"63,931,876",2017-01-01 00:00:00,n2o,29.200815
Tanzania,TZA,"63,931,876",2017-01-01 00:00:00,co2,500357.364
Tanzania,TZA,"63,931,876",2017-01-01 00:00:00,ch4,172221.822566
Tanzania,TZA,"63,931,876",2017-01-01 00:00:00,co2e_20yr,14974699.474704
Tanzania,TZA,"63,931,876",2017-01-01 00:00:00,co2e_100yr,5330306.611823
Tanzania,TZA,"63,931,876",2018-01-01 00:00:00,n2o,29.760125
Tanzania,TZA,"63,931,876",2018-01-01 00:00:00,co2,476642.603
Tanzania,TZA,"63,931,876",2018-01-01 00:00:00,ch4,174290.476721
Tanzania,TZA,"63,931,876",2018-01-01 00:00:00,co2e_20yr,15124899.320564
Tanzania,TZA,"63,931,876",2018-01-01 00:00:00,co2e_100yr,5364662.384313
Tanzania,TZA,"63,931,876",2019-01-01 00:00:00,n2o,30.80396
Tanzania,TZA,"63,931,876",2019-01-01 00:00:00,co2,509121.029
Tanzania,TZA,"63,931,876",2019-01-01 00:00:00,ch4,174298.298557
Tanzania,TZA,"63,931,876",2019-01-01 00:00:00,co2e_20yr,15158310.353228
Tanzania,TZA,"63,931,876",2019-01-01 00:00:00,co2e_100yr,5397636.437996
Tanzania,TZA,"63,931,876",2020-01-01 00:00:00,n2o,27.007264
Tanzania,TZA,"63,931,876",2020-01-01 00:00:00,co2,446370.0712
Tanzania,TZA,"63,931,876",2020-01-01 00:00:00,ch4,176332.774518
Tanzania,TZA,"63,931,876",2020-01-01 00:00:00,co2e_20yr,15265453.048408
Tanzania,TZA,"63,931,876",2020-01-01 00:00:00,co2e_100yr,5390844.682664
Tanzania,TZA,"63,931,876",2021-01-01 00:00:00,n2o,28.829688
Tanzania,TZA,"63,931,876",2021-01-01 00:00:00,co2,476490.7036
Tanzania,TZA,"63,931,876",2021-01-01 00:00:00,ch4,176335.228119
Tanzania,TZA,"63,931,876",2021-01-01 00:00:00,co2e_20yr,15296260.903228
Tanzania,TZA,"63,931,876",2021-01-01 00:00:00,co2e_100yr,5421516.958252
